NCT Number,Study Results,Sex,Age,Study Type
NCT00078897,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03565367,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01252667,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01589497,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02197897,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01200797,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00282867,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00503997,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02499497,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01679197,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00763867,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00264797,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02973997,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00388297,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00068367,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01309997,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00329797,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00308997,YES,ALL,ADULT,INTERVENTIONAL
NCT04098497,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01313897,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03151967,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00182767,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03309943,YES,ALL,ADULT,INTERVENTIONAL
NCT00354107,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01319383,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00980343,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00612807,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00103207,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00280683,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01076543,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01273207,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03141983,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00134043,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01348607,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT04117607,YES,ALL,ADULT,INTERVENTIONAL
NCT00576407,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00494507,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00329407,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01574183,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00044083,YES,ALL,ADULT,INTERVENTIONAL
NCT00135707,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00833443,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02311907,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01132807,YES,ALL,ADULT,INTERVENTIONAL
NCT00449007,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00304707,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01525407,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04166383,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00492856,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01196390,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00589290,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00138203,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00271856,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01616056,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02207556,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01371656,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00496756,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00438256,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01281956,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01362790,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00436956,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00595556,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01307956,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00226590,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00086190,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00131456,YES,ALL,ADULT,INTERVENTIONAL
NCT00699556,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00054756,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02054156,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00711490,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01306656,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01977456,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04583956,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00392990,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01240590,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02415556,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00183456,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03252756,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01624090,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00589056,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00003590,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00387790,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03642990,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00816556,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01618656,YES,MALE,ADULT,INTERVENTIONAL
NCT00408590,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01548690,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02383433,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00025233,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00729937,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01535937,YES,ALL,ADULT,INTERVENTIONAL
NCT00304083,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01534637,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01106833,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01802333,YES,ALL,ADULT,INTERVENTIONAL
NCT02869633,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00602537,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02152137,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03239483,YES,ALL,ADULT,INTERVENTIONAL
NCT00274937,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00006237,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02634333,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01730833,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01032733,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00005937,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00107783,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01873833,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00992433,YES,ALL,ADULT,INTERVENTIONAL
NCT00022633,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03272633,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02530437,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00245037,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01333033,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00244933,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02506933,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00351533,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04364737,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00918333,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00334633,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01693783,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03786783,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01093183,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01867333,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01011933,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01573533,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02556333,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01349933,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01656733,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00345033,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01591733,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00564733,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01039207,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02544607,YES,ALL,ADULT,INTERVENTIONAL
NCT00450983,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03459807,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00720083,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00080483,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02153983,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02437383,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00684983,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02344407,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01019707,YES,ALL,ADULT,INTERVENTIONAL
NCT01973283,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04805983,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00086307,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00001941,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00509041,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02892734,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01896934,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02357134,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00115336,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02885636,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00186628,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00934141,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01895036,YES,ALL,ADULT,INTERVENTIONAL
NCT01955434,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01078441,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00368836,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00107536,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00996736,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00996034,YES,ALL,ADULT,INTERVENTIONAL
NCT00668434,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02695628,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00282828,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02520141,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00826241,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00286234,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02373241,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00992836,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00875836,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00049036,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03202628,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00891228,YES,MALE,ADULT,INTERVENTIONAL
NCT03422536,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00084136,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02786836,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00265941,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01679236,YES,ALL,ADULT,INTERVENTIONAL
NCT04015336,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00706836,YES,ALL,ADULT,INTERVENTIONAL
NCT02710136,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00837434,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02657928,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03565328,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01553136,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00060528,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00931528,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03738241,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00057941,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02178241,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02580877,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01010477,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01097694,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04501094,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02536794,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00295932,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00827632,YES,FEMALE,ADULT,INTERVENTIONAL
NCT03382418,YES,ALL,ADULT,INTERVENTIONAL
NCT01381718,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00535002,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00275002,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00906178,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00553202,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00006178,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01390402,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02968602,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01287078,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03022578,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00423878,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00969878,YES,ALL,ADULT,INTERVENTIONAL
NCT01227018,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02078102,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00542178,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03309878,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01468818,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02962102,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00245102,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00027378,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02262078,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02965378,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01313078,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00075478,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01053078,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00141778,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01307618,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00100178,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00059202,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00103402,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01143402,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01004978,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00796978,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03074318,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02153918,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01036802,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01441102,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00478218,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04466618,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03255018,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00826202,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00100802,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00795002,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00669578,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00481078,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00245518,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01098318,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00408902,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00685178,YES,ALL,ADULT,INTERVENTIONAL
NCT00392678,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00340678,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00577278,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00087178,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01294358,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01435018,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01853618,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01585402,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03093402,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00961402,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00090402,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02564978,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00356278,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01257802,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01326702,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00943878,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01708278,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00763958,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00389818,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01200602,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02696902,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00393978,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00071058,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00669318,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01434602,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02509078,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00068718,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00003102,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02728102,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00073918,YES,ALL,ADULT,INTERVENTIONAL
NCT01687218,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03070002,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04228302,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02736578,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02188784,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01827384,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00507728,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00749658,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00614458,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01164228,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00338728,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00480441,YES,ALL,ADULT,INTERVENTIONAL
NCT00100841,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00966641,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00085436,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00110136,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02816736,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00095836,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00336323,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00262223,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02370784,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00927784,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01517984,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00939484,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02899728,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02022436,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03111628,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01585441,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00089141,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02097641,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00112736,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01072136,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02800928,YES,ALL,ADULT,INTERVENTIONAL
NCT00993928,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01658228,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00908141,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03462641,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00609336,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00566228,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00587041,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00321828,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03727841,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00070941,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01324141,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01120236,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00246441,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00436436,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04250636,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01730118,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01029002,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00350402,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00074802,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00425802,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02464878,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00949078,YES,ALL,ADULT,INTERVENTIONAL
NCT00789958,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02124902,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02165202,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01376778,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00866918,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00200902,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02337478,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00325078,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00942578,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01224678,YES,FEMALE,"CHILD, ADULT",INTERVENTIONAL
NCT02292758,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00132002,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00096278,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03781778,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
